check folder at path: /Volumes/A_2TB_SSD/mc_ev3_dst/mc_ev3_src
verification (xxh128) of file DCIM/A001/A001_C001_000001.mov: OK
verification (xxh128) of file DCIM/A001/A002_C4251_004251.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4253_004253.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4255_004255.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4257_004257.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4259_004259.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4261_004261.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4263_004263.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4265_004265.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4267_004267.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4269_004269.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4271_004271.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4273_004273.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4275_004275.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4277_004277.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4279_004279.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4281_004281.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4283_004283.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4285_004285.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4287_004287.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4289_004289.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4291_004291.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4293_004293.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4295_004295.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4297_004297.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4299_004299.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4301_004301.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4303_004303.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4305_004305.braw: OK
verification (xxh128) of file DCIM/A001/A002_C4307_004307.braw: OK
